x,z,label,confidence
0.0,-0.0,streetcar tram tramcar trolley trolley car,0.463
0.0,-0.0,recreational vehicle RV R.V.,0.297
-0.7646298730239273,-0.6645773596551416,streetcar tram tramcar trolley trolley car,0.386
-0.7876454880282362,-0.6823884780738189,streetcar tram tramcar trolley trolley car,0.425
-0.7876454880282362,-0.6823884780738189,limousine limo,0.126
-12.436956357609592,18.26084926988046,minivan,0.21
-12.436956357609592,18.26084926988046,streetcar tram tramcar trolley trolley car,0.079
-12.436956357609592,18.26084926988046,limousine limo,0.27
-12.436956357609592,18.26084926988046,trailer truck tractor trailer trucking rig rig articulated lorry semi,0.2
-13.20158623063352,20.05309307124024,streetcar tram tramcar trolley trolley car,0.128
-13.20158623063352,20.05309307124024,trailer truck tractor trailer trucking rig rig articulated lorry semi,0.224
-13.265518494130585,21.160722005317098,streetcar tram tramcar trolley trolley car,0.235
-13.265518494130585,21.160722005317098,garbage truck dustcart,0.15
-10.75681646835192,23.945935664450428,streetcar tram tramcar trolley trolley car,0.317
-10.75681646835192,23.945935664450428,trailer truck tractor trailer trucking rig rig articulated lorry semi,0.13
-10.33742081918125,28.963105114365135,trailer truck tractor trailer trucking rig rig articulated lorry semi,0.189
-9.968318549465353,32.93832413125042,traffic light traffic signal stoplight,0.117
-9.968318549465353,32.93832413125042,trailer truck tractor trailer trucking rig rig articulated lorry semi,0.136
-9.880518241317022,38.83269116842631,trailer truck tractor trailer trucking rig rig articulated lorry semi,0.074
-9.880518241317022,38.83269116842631,streetcar tram tramcar trolley trolley car,0.12
-9.739867261138926,41.81494032674707,streetcar tram tramcar trolley trolley car,0.179
-9.756063434122087,42.20789812933092,streetcar tram tramcar trolley trolley car,0.437
-9.756063434122087,42.20789812933092,tow truck tow car wrecker,0.117
-9.756063434122087,42.20789812933092,garbage truck dustcart,0.232
-9.496072228264918,45.23467508369838,ambulance,0.101
-9.496072228264918,45.23467508369838,traffic light traffic signal stoplight,0.174
-9.562561783125602,45.36269249842021,streetcar tram tramcar trolley trolley car,0.185
-9.562561783125602,45.36269249842021,tow truck tow car wrecker,0.103
-9.562561783125602,45.36269249842021,limousine limo,0.299
-9.29489870560033,53.99329261947355,minivan,0.25
-9.29489870560033,53.99329261947355,ambulance,0.14
-9.294046275953374,54.07789543235775,limousine limo,0.172
-9.294046275953374,54.07789543235775,minivan,0.267
-9.294046275953374,54.07121626314849,limousine limo,0.365
-9.294046275953374,54.07121626314849,minivan,0.247
-9.018711326759998,60.2360896631866,minivan,0.235
-9.018711326759998,60.2360896631866,limousine limo,0.435
-8.678591684422601,72.08270987358553,minivan,0.197
-8.678591684422601,72.08270987358553,limousine limo,0.346
-17.511473231854218,90.83113851314342,limousine limo,0.226
-17.511473231854218,90.83113851314342,cab hack taxi taxicab,0.108
-17.511473231854218,90.83113851314342,convertible,0.252
-14.390726334343977,92.78702196606238,limousine limo,0.213
-14.390726334343977,92.78702196606238,minivan,0.449
-15.272139142894735,97.77079556913982,tow truck tow car wrecker,0.203
-15.272139142894735,97.77079556913982,streetcar tram tramcar trolley trolley car,0.306
-15.272139142894735,97.77079556913982,traffic light traffic signal stoplight,0.179
-15.203092297881808,96.62197842401638,tow truck tow car wrecker,0.188
-15.203092297881808,96.62197842401638,garbage truck dustcart,0.142
-15.203092297881808,96.62197842401638,minivan,0.259
-14.988279892386302,95.58225438019606,ambulance,0.309
-14.988279892386302,95.58225438019606,streetcar tram tramcar trolley trolley car,0.274
-22.7428372592601,122.41247805087356,traffic light traffic signal stoplight,0.126
-22.7428372592601,122.41247805087356,streetcar tram tramcar trolley trolley car,0.464
-19.765298633291575,120.7638363926542,streetcar tram tramcar trolley trolley car,0.46
-20.699562112660722,122.00504871487114,streetcar tram tramcar trolley trolley car,0.617
-18.319577043523143,132.43345861228445,streetcar tram tramcar trolley trolley car,0.343
-17.53448884564715,136.91852089647503,cab hack taxi taxicab,0.415
-17.53448884564715,136.91852089647503,streetcar tram tramcar trolley trolley car,0.35
-17.618027004349326,138.2821846584136,streetcar tram tramcar trolley trolley car,0.609
-17.618027004349326,138.2821846584136,traffic light traffic signal stoplight,0.388
-16.93864014932149,143.23701519386293,streetcar tram tramcar trolley trolley car,0.225
-16.93864014932149,143.23701519386293,traffic light traffic signal stoplight,0.171
-16.74428606746667,144.47488793107976,maze labyrinth,0.264
-16.74428606746667,144.47488793107976,traffic light traffic signal stoplight,0.243
-24.879879725170625,171.15705667940765,traffic light traffic signal stoplight,0.378
-25.30268509535187,172.62313437344008,traffic light traffic signal stoplight,0.609
-27.43290812045262,175.07661595024584,streetcar tram tramcar trolley trolley car,0.215
-27.43290812045262,175.07661595024584,traffic light traffic signal stoplight,0.423
-27.61788547013405,184.5855268535604,traffic light traffic signal stoplight,0.589
-34.62400913696708,191.82018056083794,traffic light traffic signal stoplight,0.621
-34.62400913696708,191.82018056083794,trolleybus trolley coach trackless trolley,0.513
