x,z,label,confidence
0.0,-0.0,"maze, labyrinth",0.077
0.0,-0.0,"maze, labyrinth",0.119
0.0,-0.0,"maze, labyrinth",0.064
-0.36498086411315417,0.7235766907023403,fountain,0.072
-0.36498086411315417,0.7235766907023403,park bench,0.076
-0.36498086411315417,0.7235766907023403,"maze, labyrinth",0.096
-0.36498086411315417,0.7235766907023403,"maze, labyrinth",0.221
-0.4314960677827237,0.861612858842575,"maze, labyrinth",0.107
-0.4314960677827237,0.861612858842575,park bench,0.098
-0.4314960677827237,0.861612858842575,"golfcart, golf cart",0.095
-0.4314960677827237,0.861612858842575,"maze, labyrinth",0.096
-0.646391343786842,1.2901928982637847,"maze, labyrinth",0.086
-0.646391343786842,1.2901928982637847,"unicycle, monocycle",0.07
-0.646391343786842,1.2901928982637847,"unicycle, monocycle",0.052
-0.646391343786842,1.2901928982637847,crutch,0.24
-1.023310834075371,2.044939045803324,crutch,0.102
-1.023310834075371,2.044939045803324,"unicycle, monocycle",0.127
-1.023310834075371,2.044939045803324,bow,0.034
-0.9627649434934887,1.9158084368724277,"lakeside, lakeshore",0.048
-0.9627649434934887,1.9158084368724277,croquet ball,0.061
-0.9627649434934887,1.9158084368724277,croquet ball,0.097
-0.9627649434934887,1.9158084368724277,park bench,0.146
-1.10943949641802,2.2119182823626247,park bench,0.067
-1.10943949641802,2.2119182823626247,park bench,0.206
-1.10943949641802,2.2119182823626247,park bench,0.384
-1.10943949641802,2.2119182823626247,park bench,0.128
-1.226267482692271,2.4512551875966735,park bench,0.169
-1.226267482692271,2.4512551875966735,"maze, labyrinth",0.248
-1.226267482692271,2.4512551875966735,"unicycle, monocycle",0.195
-1.226267482692271,2.4512551875966735,"maze, labyrinth",0.288
-0.7436058725998571,3.0880026746237603,"maze, labyrinth",0.735
-0.7436058725998571,3.0880026746237603,"maze, labyrinth",0.274
-0.7436058725998571,3.0880026746237603,swing,0.26
-0.7436058725998571,3.0880026746237603,"maze, labyrinth",0.13
-0.21063147990276154,3.6479397137669163,"maze, labyrinth",0.133
-0.21063147990276154,3.6479397137669163,safety pin,0.109
-0.21063147990276154,3.6479397137669163,sundial,0.311
-0.21063147990276154,3.6479397137669163,swing,0.147
6.5483365808010525,14.012897500923849,sundial,0.42
6.5483365808010525,14.012897500923849,sundial,0.508
6.5483365808010525,14.012897500923849,sundial,0.185
6.5483365808010525,14.012897500923849,"pedestal, plinth, footstall",0.059
11.426118224034882,21.500246451853947,pole,0.092
11.426118224034882,21.500246451853947,"worm fence, snake fence, snake-rail fence, Virginia fence",0.036
11.426118224034882,21.500246451853947,"worm fence, snake fence, snake-rail fence, Virginia fence",0.038
11.426118224034882,21.500246451853947,"thatch, thatched roof",0.039
12.142435807887642,21.66611249341321,"sandbar, sand bar",0.05
12.142435807887642,21.66611249341321,"thatch, thatched roof",0.027
12.142435807887642,21.66611249341321,"sandbar, sand bar",0.055
12.838287174574157,22.08578697362508,"sandbar, sand bar",0.031
12.838287174574157,22.08578697362508,rapeseed,0.032
12.838287174574157,22.08578697362508,"sandbar, sand bar",0.035
12.838287174574157,22.08578697362508,"worm fence, snake fence, snake-rail fence, Virginia fence",0.026
13.555457518131925,22.575592733302596,"worm fence, snake fence, snake-rail fence, Virginia fence",0.045
13.555457518131925,22.575592733302596,"sandbar, sand bar",0.04
13.555457518131925,22.575592733302596,"worm fence, snake fence, snake-rail fence, Virginia fence",0.042
13.555457518131925,22.575592733302596,stone wall,0.036
14.116572958069284,23.068738077189252,"worm fence, snake fence, snake-rail fence, Virginia fence",0.093
14.116572958069284,23.068738077189252,"maze, labyrinth",0.054
14.116572958069284,23.068738077189252,park bench,0.064
14.116572958069284,23.068738077189252,"lakeside, lakeshore",0.061
14.569388002723262,23.354829168470072,"worm fence, snake fence, snake-rail fence, Virginia fence",0.078
14.569388002723262,23.354829168470072,"lakeside, lakeshore",0.065
14.569388002723262,23.354829168470072,park bench,0.064
14.569388002723262,23.354829168470072,"unicycle, monocycle",0.219
15.152675178025039,23.80901269131023,"horse cart, horse-cart",0.134
15.152675178025039,23.80901269131023,"unicycle, monocycle",0.189
15.152675178025039,23.80901269131023,"worm fence, snake fence, snake-rail fence, Virginia fence",0.152
15.152675178025039,23.80901269131023,"unicycle, monocycle",0.076
15.710379582777891,24.39455321229039,sundial,0.062
15.710379582777891,24.39455321229039,sundial,0.145
15.710379582777891,24.39455321229039,sundial,0.283
15.710379582777891,24.39455321229039,tile roof,0.567
16.417316817146617,25.063583351945688,sundial,0.404
16.417316817146617,25.063583351945688,sundial,0.297
16.417316817146617,25.063583351945688,sundial,0.259
14.224020596071343,28.418752804431552,"worm fence, snake fence, snake-rail fence, Virginia fence",0.049
14.224020596071343,28.418752804431552,"worm fence, snake fence, snake-rail fence, Virginia fence",0.081
14.224020596071343,28.418752804431552,"worm fence, snake fence, snake-rail fence, Virginia fence",0.062
14.224020596071343,28.418752804431552,"worm fence, snake fence, snake-rail fence, Virginia fence",0.102
13.798493841376306,28.751598082550114,sundial,0.036
13.798493841376306,28.751598082550114,"worm fence, snake fence, snake-rail fence, Virginia fence",0.06
13.798493841376306,28.751598082550114,"lakeside, lakeshore",0.053
13.798493841376306,28.751598082550114,"lakeside, lakeshore",0.048
13.90935251456287,28.898539809899688,"worm fence, snake fence, snake-rail fence, Virginia fence",0.043
13.90935251456287,28.898539809899688,"worm fence, snake fence, snake-rail fence, Virginia fence",0.043
13.90935251456287,28.898539809899688,"lakeside, lakeshore",0.034
13.90935251456287,28.898539809899688,"worm fence, snake fence, snake-rail fence, Virginia fence",0.044
14.247045089928926,29.535287297717748,pole,0.062
14.247045089928926,29.535287297717748,pole,0.052
14.247045089928926,29.535287297717748,pole,0.084
14.247045089928926,29.535287297717748,"lakeside, lakeshore",0.057
14.583884905589974,30.067394463441875,pole,0.115
14.583884905589974,30.067394463441875,"lakeside, lakeshore",0.076
14.583884905589974,30.067394463441875,pole,0.111
14.583884905589974,30.067394463441875,"lakeside, lakeshore",0.133
14.720326350537306,30.64402942600367,pole,0.134
14.720326350537306,30.64402942600367,pole,0.154
