x,z,label,confidence
0.0,-0.0,maze labyrinth,0.077
-0.36498086411315417,0.7235766907023403,fountain,0.072
-0.36498086411315417,0.7235766907023403,park bench,0.076
-0.36498086411315417,0.7235766907023403,maze labyrinth,0.096
-0.4314960677827237,0.861612858842575,maze labyrinth,0.107
-0.4314960677827237,0.861612858842575,park bench,0.098
-0.4314960677827237,0.861612858842575,golfcart golf cart,0.095
-0.646391343786842,1.2901928982637847,maze labyrinth,0.086
-0.646391343786842,1.2901928982637847,unicycle monocycle,0.07
-0.646391343786842,1.2901928982637847,crutch,0.24
-1.023310834075371,2.044939045803324,crutch,0.102
-1.023310834075371,2.044939045803324,unicycle monocycle,0.127
-1.023310834075371,2.044939045803324,bow,0.034
-0.9627649434934887,1.9158084368724277,lakeside lakeshore,0.048
-0.9627649434934887,1.9158084368724277,croquet ball,0.061
-0.9627649434934887,1.9158084368724277,park bench,0.146
-1.10943949641802,2.2119182823626247,park bench,0.067
-1.226267482692271,2.4512551875966735,park bench,0.169
-1.226267482692271,2.4512551875966735,maze labyrinth,0.248
-1.226267482692271,2.4512551875966735,unicycle monocycle,0.195
-0.7436058725998571,3.0880026746237603,maze labyrinth,0.735
-0.7436058725998571,3.0880026746237603,swing,0.26
-0.21063147990276154,3.6479397137669163,maze labyrinth,0.133
-0.21063147990276154,3.6479397137669163,safety pin,0.109
-0.21063147990276154,3.6479397137669163,sundial,0.311
-0.21063147990276154,3.6479397137669163,swing,0.147
6.5483365808010525,14.012897500923849,sundial,0.42
6.5483365808010525,14.012897500923849,pedestal plinth footstall,0.059
11.426118224034882,21.500246451853947,pole,0.092
11.426118224034882,21.500246451853947,worm fence snake fence snake-rail fence Virginia fence,0.036
11.426118224034882,21.500246451853947,thatch thatched roof,0.039
12.142435807887642,21.66611249341321,sandbar sand bar,0.05
12.142435807887642,21.66611249341321,thatch thatched roof,0.027
12.838287174574157,22.08578697362508,sandbar sand bar,0.031
12.838287174574157,22.08578697362508,rapeseed,0.032
12.838287174574157,22.08578697362508,worm fence snake fence snake-rail fence Virginia fence,0.026
13.555457518131925,22.575592733302596,worm fence snake fence snake-rail fence Virginia fence,0.045
13.555457518131925,22.575592733302596,sandbar sand bar,0.04
13.555457518131925,22.575592733302596,stone wall,0.036
14.116572958069284,23.068738077189252,worm fence snake fence snake-rail fence Virginia fence,0.093
14.116572958069284,23.068738077189252,maze labyrinth,0.054
14.116572958069284,23.068738077189252,park bench,0.064
14.116572958069284,23.068738077189252,lakeside lakeshore,0.061
14.569388002723262,23.354829168470072,worm fence snake fence snake-rail fence Virginia fence,0.078
14.569388002723262,23.354829168470072,lakeside lakeshore,0.065
14.569388002723262,23.354829168470072,park bench,0.064
14.569388002723262,23.354829168470072,unicycle monocycle,0.219
15.152675178025039,23.80901269131023,horse cart horse-cart,0.134
15.152675178025039,23.80901269131023,unicycle monocycle,0.189
15.152675178025039,23.80901269131023,worm fence snake fence snake-rail fence Virginia fence,0.152
15.710379582777891,24.39455321229039,sundial,0.062
15.710379582777891,24.39455321229039,tile roof,0.567
16.417316817146617,25.063583351945688,sundial,0.404
14.224020596071343,28.418752804431552,worm fence snake fence snake-rail fence Virginia fence,0.049
13.798493841376306,28.751598082550114,sundial,0.036
13.798493841376306,28.751598082550114,worm fence snake fence snake-rail fence Virginia fence,0.06
13.798493841376306,28.751598082550114,lakeside lakeshore,0.053
13.90935251456287,28.898539809899688,worm fence snake fence snake-rail fence Virginia fence,0.043
13.90935251456287,28.898539809899688,lakeside lakeshore,0.034
14.247045089928926,29.535287297717748,pole,0.062
14.247045089928926,29.535287297717748,lakeside lakeshore,0.057
14.583884905589974,30.067394463441875,pole,0.115
14.583884905589974,30.067394463441875,lakeside lakeshore,0.076
14.720326350537306,30.64402942600367,pole,0.134
14.957393360693999,30.995799016749977,lakeside lakeshore,0.17
15.119417576190253,31.46334087800866,lakeside lakeshore,0.161
15.578201933931918,31.849619511383253,lakeside lakeshore,0.102
15.878373111361833,32.48636699841034,lakeside lakeshore,0.166
15.878373111361833,32.48636699841034,park bench,0.194
18.529600931685607,31.377624870124418,park bench,0.15
18.73682137519202,30.552747443119234,lakeside lakeshore,0.209
18.73682137519202,30.552747443119234,park bench,0.239
18.927839397633544,30.812121856772038,lakeside lakeshore,0.349
18.927839397633544,30.812121856772038,park bench,0.167
19.060869806184527,33.044077647553415,park bench,0.203
19.060869806184527,33.044077647553415,lakeside lakeshore,0.195
19.060869806184527,33.044077647553415,mobile home manufactured home,0.297
17.73482951677606,31.799525740336364,park bench,0.188
17.73482951677606,31.799525740336364,unicycle monocycle,0.115
13.361881217787218,56.194078952626754,mobile home manufactured home,0.152
13.361881217787218,56.194078952626754,lakeside lakeshore,0.209
5.1753945439724065,91.51909296621743,mobile home manufactured home,0.434
5.28454770017264,92.21261339350066,mobile home manufactured home,0.724
5.854190731100868,92.98517065945889,mobile home manufactured home,0.85
8.195867023298847,96.64869510164439,mobile home manufactured home,0.57
7.51365980098588,85.67927247929762,patio terrace,0.33
7.51365980098588,85.67927247929762,mobile home manufactured home,0.59
7.282562103916874,87.9290393877067,mobile home manufactured home,0.158
6.90649537212151,89.77582974011352,mobile home manufactured home,0.375
